Feedback;Comment;Tag 1 (Category);Tag 2 (App);Tag 3 (Device)
At the point of delivery. An order i made (steaming cap) going to two weeks, was called only once, when i didnt hear from him again, i called severally, he didnt pick n i sent him a text message yet no response. I hav still not recieved d package. Pls i want to use this medium to cancel that package delivery as i dont hav time for this kind of attitude. This is not the first time i am experiencing this. I would not be placing any orders with your company again. I wish u guys the best of luck. Thank u. Winifred;;Hair Centre;SHQ;Desktop Web
;I noticed that when you order more than one item, on delivery the items are brought individually at long intervals instead of delivering them together.;Generators & Power Supplies;SHQ;Desktop Web
None for now  ;Improve in monitoring the goods that is been deliver by real retail shop, there interaction some times is poor;Laptops;SHQ;Konga App
I limitations with my visa card,sometimes, it is out service. Most times it is deactivated, but I think it is easier since,"Konga to deliver", can be depended on.;So far so good but the search engine on the Konga I think works only on the home page. And I bought like four items December,no voucher.Is that because I am pay on delivery? Some items are being sold even while in my cart. Most items are scarce .Thanks;Home Theatres and Audio Systems;SHQ;Konga App
Delivery point;;Laptops;SHQ;Konga App
Your website didn't have sufficient information on the phone that I purchased. I had to get it from another website.;;Mobile Phones;KWK;Desktop Web
paying online;The delivery fee should be reduced considerable especially for very small items.;Makeup;SHQ;Desktop Web
I purchased a curve 4 battery that was dead from phonance, konga did not help and phonance custer refused to pick my calls, in which i later misplaced the battery my money just gone for nothing.;The shipping price is too much, when someone purchase more than one item konga charge differently is too much that s why we hardly but more than one item at atimes, also the price of items are so high than market price the range is too wide. thats why majority prefer buying it outside konga.;Large Appliances;SHQ;Desktop Web
None I can think of;Shipping fee is high an also one has to pay for the shipping multiple times based on the different sellers one is buying from despite the fact that a seller may not have all items one has to buy. And also the refund department or so seems to be slow somehow ;Phone and Tablet Accessories;SHQ;Mobile Web
Never a time like that.;Improve your application ;Mobile Phones;KWK;Konga App
Delivery process takes days;Some times what i order for is not what i get ;Mobile Phones;SHQ;Mobile Web
;;Men's Shoes;SHQ;Desktop Web
Canceling of wrong ordered goods;It very much ok;Home Theatres and Audio Systems;KWK;Konga App
Waiting for delivery ;Good shopping experience ;Men's Accessories;SHQ;Desktop Web
;;Women's Accessories;KWK & SHQ;Konga App
I don't think I have had any challenges with any of my transactions;I am impressed with the delivery speed as compared to transactions i have done on other e-commerce platforms;Housekeeping & Pet Supplies;SHQ;Desktop Web
;The customer service is good the staff are professional but there is always so much noise at the background . At times its like a market place!;Housekeeping & Pet Supplies;SHQ;Desktop Web
;;Large Appliances;KWK & SHQ;Mobile Web
Am very satisfied with konga;Keep it up Kong's. You are doing great job ;Small Appliances;SHQ;Desktop Web
None;;Phone and Tablet Accessories;SHQ;Konga App
Waitinh for delivery;Generally you are good, don't drop standard ;Projectors & Accessories;KWK;Mobile Web
;;Phone and Tablet Accessories;SHQ;Mobile Web
;;Makeup;SHQ;Desktop Web
Delivery;Improved on ur delivery ;Tablets;SHQ;Mobile Web
At no point.;Konga is charging excessively with regard to shipping. Since the package is meant for one person why charge N1000 on each when item for the same destination. I still would love to buy through Konga but the individual N1000 could be a deterrent. Please look into this.;Phone and Tablet Accessories;SHQ;Desktop Web
Opening the Konga pay ( linking my account );Konga is a good online market , but I suddenly lost regard for them , when I ordered for a Samsung j7 which goes for 69999 at least , only to realize that the phone is 66500 in one of the phone shops ( this shop is a shop know to sell quality goods but at exorbitant rate)  in my state.   So please kindly review ur prices , the difference is too much!!!!;Phone and Tablet Accessories;SHQ;Mobile Web
Nil;Love your service.....Keep it up;Furniture;SHQ;Desktop Web
At the point of collecting my goods what I expected was not what I saw. It was way below it.;;Large Appliances;SHQ;Mobile Web
;;Mobile Phones;KWK;Desktop Web
Delivery point;Let them act/follow their words that's all;Mobile Phones;SHQ;Konga App
@ point where my order was cancelled due to delay in shipping by dealer ;Although its your policy to cancel orders which are not shipped within your specified frame of time, this cancellation should be base on customer request or customer should have a say as to cancel or not to cancel. Regards ;Mobile Phones;SHQ;Desktop Web
;;Men's Accessories;SHQ;Desktop Web
Sizes;Allow customers pick out of supplied goods &pay while those that did not meet specification are returned instead of returning AL to place order again.It is waste of resources  & time;Men's Shoes;KWK;Konga App
;;Fitness;SHQ;Mobile Web
none;;Kitchen and Dining;SHQ;Desktop Web
No difficulty ;;Women's Wear;SHQ;Mobile Web
None; Good ;Personal Care;SHQ;Desktop Web
"Really disappointed in you guys, placed an order since two weeks ago, not even a call or a text about delivering the item only to receive an email yesterday stating that;   'your order has been cancel' blaming the seller for your shortcomings, your services are very poor!";Contact the seller and make sure h/s has a stock of the item a customer needs before displaying it on his or her store.;Computing Accessories;SHQ;Desktop Web
Most products are out of stock;Correct and complete details should be written about a product. Product that are out of stock should NOT be displayed;Home Theatres and Audio Systems;SHQ;Desktop Web
Non  ;Delivery period should be reduced from 14 days to at most 7 days.         ;Large Appliances;SHQ;Konga App
At no point at all;"Don't allow Sellers on Konga to manipulate your standard at all. I live in Mowe and the reason I've stuck to Konga is the speed of delivery with or without payment; it used to be within 2 days but I'm still monitoring. Secondly, I wonder why a Courier agent will send me a mail that my orders with it & that I could pick it upfrom their office otherwise, I should wait till someone brings it to my address. Shouldn't I have chosen pick up option?";Computing Accessories;SHQ;Desktop Web
It took ages (at least 24 hours) to get a response from the customer care when I needed help. They did come through, but if I'd been in a hurry, I would have run out of patience and just cancelled the transaction.;Product search needs improvement. Especially the laptops (and electronics in general) section. The filters need to be more relevant. I should be able to filter out laptops for example, by GPU, etc. Delivery service should be able to confirm my availability via other means (like email), not just mobile phone. I had some trouble with my phone and because of that suffered some delays despite being available at the delivery location and online.;Electronic Accessories;SHQ;Desktop Web
The delivery rate and time is very poor, I keep getting notification on failure to get the item I paid for 2 days now.and no body in Eleme Portharcourt had contacted me or sent a message to that effect.;Please improve on keeping the customer promise in terms of speed delivery.;Fitness;SHQ;Mobile Web
Issue with the delivery. Second chance should be given if they make the first call to the purchaser ;Satisfy   ;Mobile Phones;KWK;Desktop Web
Website very slow.;Work on your website as well as prices of products. It on the high side;Men's Wear;SHQ;Konga App
At d final delivery of my good to my door step,  i almost  reject d order. ;;Mobile Phones;SHQ;Mobile Web
The search process is too cumbersome. It doesn't actually drill down using the exact search criteria used.     ;Also the return process is too difficult. Why can't konga send a dispatch for a return instead of a customer seeking for a konga centre to go to, even when she's so far away from one. Also the return process from a merchant is something else. ;Tablets;KWK;Desktop Web
at the point of refund;please once you confirm item return receipt try refunding within a week;Tablets;SHQ;Desktop Web
My last order is yet to arrive and it's 5 days already;Lower shipping rates and prompt delivery..  also make available an easy platform to cancel orders we later change our mind about. ;Games and Consoles;SHQ;Konga App
Return of wrong items delivered ;There should be a way for Konga to verify items ordered before they are shipped. I am a new user and two out of the three deliveries I have received have had the wrong item shipped.;Fitness;SHQ;Konga App
None;;Personal Care;SHQ;Desktop Web
;;Kitchen and Dining;SHQ;Konga App
;;Mobile Phones;KWK;Mobile Web
The Shipping fee seems to be too expensive and the price of the product is also to high compare to the value of the product.;I think the price of the products should be reviewed and also reduce the shipping cost to make it more affordable.  In Addition, provision should be made for self pick-up at nearest centre at a lower price.;Toys & Activities;SHQ;Desktop Web
